"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_ELEICAO";"SQ_CANDIDATO";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"CD_NACIONALIDADE";"DS_NACIONALIDADE";"CD_MUNICIPIO_NASCIMENTO";"NM_MUNICIPIO_NASCIMENTO";"NR_IDADE_DATA_POSSE";"ST_QUILOMBOLA";"CD_ETNIA_INDIGENA";"DS_ETNIA_INDIGENA";"VR_DESPESA_MAX_CAMPANHA";"ST_REELEICAO";"ST_DECLARAR_BENS";"NR_PROTOCOLO_CANDIDATURA";"NR_PROCESSO";"CD_SITUACAO_CANDIDATO_PLEITO";"DS_SITUACAO_CANDIDATO_PLEITO";"CD_SITUACAO_CANDIDATO_URNA";"DS_SITUACAO_CANDIDATO_URNA";"ST_CANDIDATO_INSERIDO_URNA";"NM_TIPO_DESTINACAO_VOTOS";"CD_SITUACAO_CANDIDATO_TOT";"DS_SITUACAO_CANDIDATO_TOT";"ST_PREST_CONTAS";"ST_SUBSTITUIDO";"SQ_SUBSTITUIDO";"SQ_ORDEM_SUPLENCIA";"DT_ACEITE_CANDIDATURA";"CD_SITUACAO_JULGAMENTO";"DS_SITUACAO_JULGAMENTO";"CD_SITUACAO_JULGAMENTO_PLEITO";"DS_SITUACAO_JULGAMENTO_PLEITO";"CD_SITUACAO_JULGAMENTO_URNA";"DS_SITUACAO_JULGAMENTO_URNA";"CD_SITUACAO_CASSACAO";"DS_SITUACAO_CASSACAO";"CD_SITUACAO_CASSACAO_MIDIA";"DS_SITUACAO_CASSACAO_MIDIA";"CD_SITUACAO_DIPLOMA";"DS_SITUACAO_DIPLOMA";"CD_GENERO_FEFC";"DS_GENERO_FEFC";"CD_COR_RACA_FEFC";"DS_COR_RACA_FEFC"
"12/09/2026";"19:31:30";2026;6257;280002540694;-3;"#NE";1;"BRASILEIRA NATA";-3;"SÃO PAULO";"42";"N";0;"NÃO INFORMADO";"88944030.8";"#NE";"S";"-1";"06014155220266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-07 13:50:29";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"1";"BRANCA"
"12/09/2026";"19:31:30";2026;6257;280002538812;-3;"#NE";1;"BRASILEIRA NATA";-3;"MOJU";"35";"N";-1;"#NULO";"-1";"#NE";"N";"-1";"06013981620266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-06 13:50:28";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6259;250002536915;-3;"#NE";1;"BRASILEIRA NATA";-3;"INAJÁ";"59";"N";0;"NÃO INFORMADO";"26683209.24";"#NE";"N";"-1";"06012550420266260000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-04 16:35:15";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"2";"PRETA"
"12/09/2026";"19:31:30";2026;6257;280002538811;-3;"#NE";1;"BRASILEIRA NATA";-3;"BELO HORIZONTE";"39";"N";0;"NÃO INFORMADO";"88944030.8";"#NE";"S";"-1";"06013999820266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-06 13:50:28";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"2";"PRETA"
"12/09/2026";"19:31:30";2026;6257;280002539826;-3;"#NE";1;"BRASILEIRA NATA";-3;"ARAXÁ";"62";"N";0;"NÃO INFORMADO";"88944030.8";"#NE";"S";"-1";"06014042320266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-06 18:16:29";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"1";"BRANCA"
"12/09/2026";"19:31:30";2026;6259;50002536579;-3;"#NE";1;"BRASILEIRA NATA";-3;"FLORESTA AZUL";"68";"N";-1;"#NULO";"17788806.16";"#NE";"S";"-1";"06011804720266050000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-04 09:08:23";4;"INDEFERIDO EM PRAZO RECURSAL OU COM RECURSO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"2";"PRETA"
"12/09/2026";"19:31:30";2026;6259;30002536311;-3;"#NE";1;"BRASILEIRA NATA";-3;"BELÉM";"54";"N";0;"NÃO INFORMADO";"3557761.23";"#NE";"S";"-1";"06003616720266030000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-03 13:37:16";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6259;10002550799;-3;"#NE";1;"BRASILEIRA NATA";-3;"RIO BRANCO";"22";"N";-1;"#NULO";"3176572.53";"#NE";"N";"-1";"06005041320266010000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-13 08:59:07";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6257;280002541457;-3;"#NE";1;"BRASILEIRA NATA";-3;"SÃO JOSÉ DE RIBAMAR";"56";"N";0;"NÃO INFORMADO";"88944030.8";"#NE";"S";"-1";"06014198920266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-07 16:52:05";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"2";"PRETA"
"12/09/2026";"19:31:30";2026;6259;10002553910;-3;"#NE";1;"BRASILEIRA NATA";-3;"RIO BRANCO";"52";"N";-1;"#NULO";"3176572.53";"#NE";"S";"-1";"06006011320266010000";"-3";"#NE";"-3";"#NE";"NÃO";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-16 12:24:01";6;"RENÚNCIA";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6257;280002553883;-3;"#NE";1;"BRASILEIRA NATA";-3;"ANÁPOLIS";"49";"N";-1;"#NULO";"-1";"#NE";"S";"-1";"06015852420266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-15 19:34:06";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"1";"BRANCA"
"12/09/2026";"19:31:30";2026;6259;70002533409;-3;"#NE";1;"BRASILEIRA NATA";-3;"ITABAIANA";"42";"N";-1;"#NULO";"1270629.01";"#NE";"S";"-1";"06002983120266070000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-07-29 17:21:27";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";4;"FEMININO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6257;280002551544;-3;"#NE";1;"BRASILEIRA NATA";-3;"RESENDE";"45";"N";0;"NÃO INFORMADO";"88944030.8";"#NE";"S";"-1";"06015359520266000000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-13 20:57:19";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"1";"BRANCA"
"12/09/2026";"19:31:30";2026;6257;280002553884;-3;"#NE";1;"BRASILEIRA NATA";-3;"GOIÂNIA";"39";"N";0;"NÃO INFORMADO";"88944030.8";"#NE";"S";"-1";"06015860920266000000";"-3";"#NE";"-3";"#NE";"NÃO";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-15 19:34:06";14;"INDEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"1";"BRANCA"
"12/09/2026";"19:31:30";2026;6259;40002551315;-3;"#NE";1;"BRASILEIRA NATA";-3;"MANAQUIRI";"47";"N";-1;"#NULO";"1270629.01";"#NE";"N";"-1";"06007762320266040000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-14 09:09:58";2;"DEFERIDO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"2";"PRETA"
"12/09/2026";"19:31:30";2026;6259;50002535253;-3;"#NE";1;"BRASILEIRA NATA";-3;"FEIRA DE SANTANA";"40";"N";0;"NÃO INFORMADO";"17788806.16";"#NE";"S";"-1";"06011561920266050000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-03 11:45:05";16;"DEFERIDO EM PRAZO RECURSAL OU COM RECURSO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"2";"PRETA"
"12/09/2026";"19:31:30";2026;6259;50002544001;-3;"#NE";1;"BRASILEIRA NATA";-3;"SALVADOR";"29";"N";-1;"#NULO";"3176572.53";"#NE";"N";"-1";"06015139620266050000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-10 08:00:15";4;"INDEFERIDO EM PRAZO RECURSAL OU COM RECURSO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6259;50002542554;-3;"#NE";1;"BRASILEIRA NATA";-3;"SALVADOR";"29";"N";-1;"#NULO";"3176572.53";"#NE";"N";"-1";"06015078920266050000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-08 11:48:56";4;"INDEFERIDO EM PRAZO RECURSAL OU COM RECURSO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"3";"PARDA"
"12/09/2026";"19:31:30";2026;6259;50002542552;-3;"#NE";1;"BRASILEIRA NATA";-3;"JEQUIÉ";"58";"N";-1;"#NULO";"3176572.53";"#NE";"S";"-1";"06015060720266050000";"-3";"#NE";"-3";"#NE";"SIM";"#NULO";-1;"#NULO";"N";"N";-1;-1;"2026-08-08 11:48:56";4;"INDEFERIDO EM PRAZO RECURSAL OU COM RECURSO";"-1";"#NULO";"-1";"#NULO";-1;"#NULO";-1;"#NULO";-1;"#NULO";2;"MASCULINO";"3";"PARDA"
